id_cliente,region,pais,producto,canal,prioridad,fecha_pedido,fecha_entrega,cantidad,precio_unitario,costo_unitario,descuento,total_venta,total_costo
TCS_001,Centro,Colombia,Audio,Físico,Estándar,2024-01-21,2024-01-25,1,76.14,58.87,0.0,76.14,58.87
TCS_002,Centro,Venezuela,Wearables,Móvil,Express,2024-10-20,2024-10-23,1,138.69,91.65,0.0,138.69,91.65
TCS_003,Norte,México,Audio,Marketplace,Premium,2024-06-18,2024-06-20,1,214.86,148.51,15.03,199.83,148.51
TCS_004,Centro,Colombia,Audio,Web,Premium,2024-05-14,2024-05-15,1,55.97,44.13,0.0,55.97,44.13
TCS_005,Sur,Argentina,Laptops,Web,Express,2024-12-05,2024-12-09,1,1375.99,1054.89,0.0,1375.99,1054.89
TCS_006,Norte,Estados Unidos,Gaming,Móvil,Express,2024-02-23,2024-02-26,1,121.92,93.69,0.0,121.92,93.69
TCS_007,Sur,Chile,Gaming,Móvil,Premium,2024-10-30,2024-10-31,1,237.19,144.46,0.0,237.19,144.46
TCS_008,Norte,Estados Unidos,Wearables,Físico,Express,2024-08-04,2024-08-06,1,336.7,207.04,42.84,293.86,207.04
TCS_009,Centro,Panamá,Audio,Web,Premium,2024-10-15,2024-10-16,1,211.31,131.68,23.74,187.57,131.68
TCS_010,Sur,Argentina,Wearables,Marketplace,Express,2024-02-04,2024-02-06,1,390.95,300.95,28.77,362.18,300.95
TCS_011,Sur,Brasil,Audio,Web,Premium,2024-01-15,2024-01-17,1,98.55,59.75,0.0,98.55,59.75
TCS_012,Norte,Estados Unidos,Wearables,Marketplace,Premium,2024-08-24,2024-08-25,1,153.22,94.29,0.0,153.22,94.29
TCS_013,Sur,Perú,Laptops,Móvil,Estándar,2024-03-02,2024-03-05,1,1130.46,727.66,0.0,1130.46,727.66
TCS_014,Sur,Brasil,Laptops,Marketplace,Estándar,2024-08-18,2024-08-21,1,1436.3,861.93,0.0,1436.3,861.93
TCS_015,Centro,Panamá,Audio,Web,Express,2024-06-13,2024-06-15,1,201.93,159.24,0.0,201.93,159.24
TCS_016,Norte,México,Smartphones,Móvil,Express,2024-10-21,2024-10-24,1,318.47,254.63,0.0,318.47,254.63
TCS_017,Sur,Chile,Gaming,Móvil,Premium,2024-08-11,2024-08-12,1,576.49,407.11,0.0,576.49,407.11
TCS_018,Sur,Perú,Gaming,Marketplace,Premium,2024-07-02,2024-07-03,1,662.2,459.61,59.52,602.68,459.61
TCS_019,Centro,Colombia,Smartphones,Físico,Premium,2024-11-21,2024-11-23,1,672.71,494.79,0.0,672.71,494.79
TCS_020,Centro,Panamá,Audio,Físico,Premium,2024-11-03,2024-11-04,1,224.03,176.39,0.0,224.03,176.39
TCS_021,Norte,México,Laptops,Marketplace,Premium,2024-10-24,2024-10-25,1,679.93,541.52,0.0,679.93,541.52
TCS_022,Norte,Estados Unidos,Smartphones,Físico,Express,2024-05-19,2024-05-21,2,706.48,471.79,0.0,1412.96,943.58
TCS_023,Centro,Venezuela,Smartphones,Físico,Premium,2024-04-22,2024-04-24,1,735.19,526.5,0.0,735.19,526.5
TCS_024,Norte,Canadá,Smartphones,Web,Express,2024-12-03,2024-12-06,1,721.57,465.31,53.2,668.37,465.31
TCS_025,Norte,Canadá,Audio,Web,Estándar,2024-06-24,2024-06-30,1,336.35,218.66,0.0,336.35,218.66
TCS_026,Sur,Argentina,Audio,Móvil,Premium,2024-01-27,2024-01-29,1,340.3,249.71,24.85,315.45,249.71
TCS_027,Centro,Panamá,Smartphones,Físico,Estándar,2024-06-20,2024-06-26,1,423.65,329.05,61.56,362.09,329.05
TCS_028,Norte,México,Wearables,Marketplace,Premium,2024-07-06,2024-07-07,1,177.82,113.48,0.0,177.82,113.48
TCS_029,Centro,Venezuela,Smartphones,Móvil,Premium,2024-02-23,2024-02-25,2,256.33,164.51,0.0,512.66,329.02
TCS_030,Centro,Venezuela,Audio,Móvil,Express,2024-09-29,2024-10-01,1,369.01,262.21,0.0,369.01,262.21
TCS_031,Sur,Brasil,Laptops,Web,Estándar,2024-11-11,2024-11-15,1,1404.63,897.35,0.0,1404.63,897.35
TCS_032,Sur,Perú,Gaming,Marketplace,Premium,2024-05-22,2024-05-24,1,406.93,298.85,0.0,406.93,298.85
TCS_033,Sur,Brasil,Wearables,Móvil,Express,2024-02-27,2024-03-01,1,92.43,61.06,0.0,92.43,61.06
TCS_034,Norte,México,Wearables,Físico,Estándar,2024-04-12,2024-04-18,2,142.2,97.02,0.0,284.4,194.04
TCS_035,Norte,Estados Unidos,Gaming,Móvil,Express,2024-05-26,2024-05-28,1,403.46,302.11,0.0,403.46,302.11
TCS_036,Sur,Argentina,Smartphones,Físico,Estándar,2024-05-08,2024-05-12,2,553.88,358.89,0.0,1107.76,717.78
TCS_037,Norte,México,Wearables,Web,Estándar,2024-07-10,2024-07-17,1,214.27,139.18,0.0,214.27,139.18
TCS_038,Norte,Estados Unidos,Smartphones,Web,Express,2024-08-07,2024-08-09,1,449.13,357.46,0.0,449.13,357.46
TCS_039,Sur,Chile,Wearables,Marketplace,Estándar,2024-09-10,2024-09-17,1,277.07,201.44,0.0,277.07,201.44
TCS_040,Centro,Venezuela,Laptops,Marketplace,Express,2024-04-05,2024-04-07,1,1494.34,1080.66,215.82,1278.52,1080.66
TCS_041,Centro,Venezuela,Audio,Físico,Estándar,2024-06-27,2024-07-02,2,223.75,177.26,31.14,416.36,354.52
TCS_042,Norte,Canadá,Laptops,Web,Premium,2024-08-29,2024-08-30,1,1449.16,981.2,0.0,1449.16,981.2
TCS_043,Sur,Chile,Audio,Web,Premium,2024-07-14,2024-07-16,1,333.02,258.26,43.41,289.61,258.26
TCS_044,Norte,Estados Unidos,Wearables,Web,Premium,2024-06-25,2024-06-26,1,199.05,150.34,0.0,199.05,150.34
TCS_045,Sur,Perú,Wearables,Físico,Estándar,2024-07-01,2024-07-08,1,156.24,105.55,0.0,156.24,105.55
TCS_046,Norte,Estados Unidos,Wearables,Marketplace,Premium,2024-06-25,2024-06-27,1,369.72,228.58,0.0,369.72,228.58
TCS_047,Sur,Brasil,Gaming,Marketplace,Express,2024-05-23,2024-05-25,1,521.71,370.8,0.0,521.71,370.8
TCS_048,Norte,Canadá,Smartphones,Marketplace,Estándar,2024-06-29,2024-07-03,2,996.74,609.18,208.5,1784.98,1218.36
TCS_049,Centro,Venezuela,Gaming,Web,Express,2024-09-09,2024-09-12,1,590.68,363.0,71.25,519.43,363.0
TCS_050,Norte,México,Wearables,Móvil,Premium,2024-05-15,2024-05-17,2,361.72,234.15,78.99,644.45,468.3
TCS_051,Sur,Perú,Audio,Web,Express,2024-06-15,2024-06-19,1,198.61,136.42,0.0,198.61,136.42
TCS_052,Sur,Perú,Laptops,Físico,Estándar,2024-12-26,2024-12-29,1,780.01,530.44,0.0,780.01,530.44
TCS_053,Norte,México,Wearables,Móvil,Express,2024-02-13,2024-02-15,2,93.81,73.01,0.0,187.62,146.02
